name,number,sex,year
Thomas,404,Male,2018
Isla,372,Female,2018
Lucas,394,Male,2018
Grace,361,Female,2018
Liam,383,Male,2018
Chloe,358,Female,2018
Leo,375,Male,2018
Harper,325,Female,2018
Alexander,370,Male,2018
Emily,317,Female,2018
James,368,Male,2018
Sophia,308,Female,2018
Ethan,345,Male,2018
Isabella,300,Female,2018
Elijah,323,Male,2018
Willow,299,Female,2018
Mason,306,Male,2018
Zoe,297,Female,2018
Harry,305,Male,2018
Ivy,295,Female,2018
Hunter,296,Male,2018
Ruby,276,Female,2018
Isaac,290,Male,2018
Ella,270,Female,2018
Jacob,288,Male,2018
Evelyn,263,Female,2018
Harrison,287,Male,2018
Evie,262,Female,2018
Levi,279,Male,2018
Sophie,261,Female,2018
Oscar,278,Male,2018
Matilda,251,Female,2018
Charlie,277,Male,2018
Aria,246,Female,2018
Theodore,271,Male,2018
Lily,237,Female,2018
Lachlan,260,Male,2018
Georgia,236,Female,2018
Hudson,255,Male,2018
Lucy,230,Female,2018
Archie,248,Male,2018
Sienna,228,Female,2018
Max,247,Male,2018
Mila,226,Female,2018
Benjamin,246,Male,2018
Audrey,217,Female,2018
Cooper,242,Male,2018
Hannah,212,Female,2018
Samuel,241,Male,2018
Scarlett,203,Female,2018
Ryan,235,Male,2018
Emma,202,Female,2018
Archer,234,Male,2018
Zara,201,Female,2018
George,234,Male,2018
Abigail,187,Female,2018
Joshua,234,Male,2018
Layla,185,Female,2018
Xavier,223,Male,2018
Eva,180,Female,2018
Logan,222,Male,2018
Isabelle,175,Female,2018
Sebastian,219,Male,2018
Alice,161,Female,2018
Hugo,217,Male,2018
Emilia,159,Female,2018
Daniel,215,Male,2018
Violet,155,Female,2018
Finn,201,Male,2018
Hazel,154,Female,2018
Luca,201,Male,2018
Sofia,154,Female,2018
Harvey,200,Male,2018
Stella,146,Female,2018
Jackson,195,Male,2018
Ellie,143,Female,2018
Muhammad,192,Male,2018
Frankie,141,Female,2018
Jaxon,184,Male,2018
Aurora,140,Female,2018
Adam,182,Male,2018
Eleanor,140,Female,2018
Joseph,180,Male,2018
Penelope,138,Female,2018
Kai,176,Male,2018
Florence,135,Female,2018
Aiden,171,Male,2018
Annabelle,134,Female,2018
Edward,171,Male,2018
Maya,130,Female,2018
