Name,Sex,Year,Count
KATE,Female,1987,196
LISA,Female,1966,196
NATHAN,Male,2000,196
NICOLE,Female,1991,196
OLIVIA,Female,2001,196
PATRICIA,Female,1963,196
PETER,Male,1987,196
RACHEL,Female,1994,196
RUSSELL,Male,1960,196
SUSAN,Female,1973,196
ALEXANDER,Male,2001,195
ANGELA,Female,1974,195
BRADLEY,Male,1979,195
CAITLIN,Female,2002,195
GREGORY,Male,1972,195
HAYDEN,Male,1994,195
HELEN,Female,1968,195
KIM,Female,1969,195
MELISSA,Female,1971,195
MITCHELL,Male,1987,195
OLIVIA,Female,2002,195
RILEY,Male,2000,195
STEVEN,Male,1986,195
WILLIAM,Male,1964,195
ADAM,Male,1974,194
AMANDA,Female,1990,194
ANTHONY,Male,1987,194
BRADLEY,Male,1966,194
BRADLEY,Male,1971,194
BRADLEY,Male,1975,194
BRADLEY,Male,1981,194
CATHERINE,Female,1967,194
JACKSON,Male,1999,194
JAMES,Male,1973,194
JEFFREY,Male,1960,194
JESSE,Male,1993,194
KIM,Female,1971,194
KYLE,Male,1997,194
LAUREN,Female,1997,194
LEANNE,Female,1971,194
WILLIAM,Male,1994,194
AMY,Female,1983,193
ANDREW,Male,1997,193
ANGELA,Female,1981,193
DANIEL,Male,1971,193
DARREN,Male,1975,193
HAYLEY,Female,2005,193
JUSTIN,Male,1991,193
LISA,Female,1976,193
MITCHELL,Male,2005,193
SHANE,Male,1960,193
SHARON,Female,1960,193
SOPHIE,Female,1999,193
TIMOTHY,Male,1977,193
TRACEY,Female,1962,193
WAYNE,Male,1972,193
WILLIAM,Male,1962,193
ZACHARY,Male,1999,193
ZACHARY,Male,2000,193
AMY,Female,2001,192
BELINDA,Female,1974,192
CAITLIN,Female,1997,192
CAMERON,Male,1992,192
HAYDEN,Male,2005,192
KYLIE,Female,1988,192
NATHAN,Male,2001,192
SAMANTHA,Female,1985,192
SANDRA,Female,1971,192
STEPHANIE,Female,1988,192
TROY,Male,1978,192
AARON,Male,1994,191
BELINDA,Female,1975,191
CALEB,Male,2004,191
CAMERON,Male,1987,191
JAMES,Male,1976,191
KATE,Female,1992,191
LEANNE,Female,1970,191
MADISON,Female,2000,191
BAILEY,Male,2000,190
BRIAN,Male,1961,190
CHRISTINE,Female,1970,190
DANIELLE,Female,1988,190
DEBORAH,Female,1968,190
ELIZABETH,Female,1961,190
GREGORY,Male,1970,190
HAYDEN,Male,2004,190
JESSE,Male,1992,190
JUDITH,Female,1962,190
KYLIE,Female,1986,190
LISA,Female,1985,190
MATTHEW,Male,1969,190
MITCHELL,Male,1986,190
SCOTT,Male,1965,190
STEPHEN,Male,1978,190
BRADLEY,Male,1965,189
BRANDON,Male,1994,189
CAITLIN,Female,2003,189
CHRISTINE,Female,1965,189
CRAIG,Male,1979,189
EMMA,Female,1984,189
ERIN,Female,1984,189
HAYDEN,Male,1998,189
HELEN,Female,1966,189
KATE,Female,1983,189
KATE,Female,1986,189
KELLY,Female,1980,189
MARGARET,Female,1961,189
REBECCA,Female,1997,189
ROBERT,Male,1991,189
ROBERT,Male,1992,189
TRACEY,Female,1974,189
AARON,Male,1995,188
ADAM,Male,1996,188
ANGELA,Female,1973,188
ANTHONY,Male,1988,188
CATHERINE,Female,1969,188
CHRISTINE,Female,1966,188
COURTNEY,Female,1993,188
ERIN,Female,1983,188
GRAHAM,Male,1960,188
ISABELLA,Female,1999,188
JUSTIN,Male,1992,188
LAUREN,Female,1982,188
LILY,Female,2003,188
PAUL,Male,1985,188
RUSSELL,Male,1961,188
WILLIAM,Male,1965,188
ZACHARY,Male,2001,188
AMANDA,Female,1968,187
FIONA,Female,1971,187
SUSAN,Female,1972,187
ALEXANDER,Male,1989,186
ALEXANDER,Male,2005,186
GRACE,Female,2000,186
JOEL,Male,1988,186
JOHN,Male,1987,186
JULIE,Female,1975,186
MARGARET,Female,1962,186
MELISSA,Female,1991,186
NOAH,Male,2003,186
BROOKE,Female,1996,185
CONNOR,Male,1997,185
GREGORY,Male,1974,185
IAN,Male,1966,185
